RC,Sub RC,IA,Sub IA,Github found (y/n),Added to VI,title,Code Link,url,publicationDate,type,contributors
Other fundamental research,Inf Theory,-,-,y,Y,Principle of Relevant Information for Graph Sparsification,https://github.com/SJYuCNEL/PRI-Graphs,https://api.nva.unit.no/publication/0198cc58db36-1a1d05d6-bfef-48ea-95e2-577084bcbd04,2022,AcademicArticle,"Shujian Yu,Francesco Alesiani,Wenzhe Yin,Robert Jenssen,Jose C. Principe"
XAI,General XAI methods,-,-,y,Y,Explain and improve: LRP-inference fine-tuning for image captioning models,https://github.com/SunJiamei/LRP-imagecaptioning-pytorch,https://api.nva.unit.no/publication/0198cc7c84dd-02a3b529-9e2f-4043-8934-5ebb399c96c3,2021,AcademicArticle,"Jiamei Sun,Sebasian Lapuschkin,Wojciech Samek,Alexander Binder"
Other fundamental research,Inf Theory,-,-,y,Y,Gated information bottleneck for generalization in sequential environments,https://github.com/falesiani/GIB,https://api.nva.unit.no/publication/0198cc67f0df-938a0db6-e6f8-4f50-bed5-a13c32a21105,2022,AcademicArticle,"Francesco Alesiani,Shujian Yu,Xi Yu"
XAI,General XAI methods,-,-,y,Y,Pruning by explaining: A novel criterion for deep neural network pruning,https://github.com/seulkiyeom/LRP_pruning,https://api.nva.unit.no/publication/0198cc5fa4d4-b55e89d5-4ed2-44cd-ade5-6864e431ccaa,2021,AcademicArticle,"Seul-Ki Yeom,Philipp Seegerer,Sebastian Lapuschkin,Alexander Binder,Simon Wiedemann,Klaus-Robert Müller,Wojciech Samek"
XAI,Concept & Prototypes,-,-,y,Y,Towards Scalable and Unified Example-based Explanation and Outlier Detection,https://github.com/pennychong94/Project_Towards-Scalable-and-Unified-Example-based-Explanation-and-OD,https://api.nva.unit.no/publication/0198cc5fa483-1d00b58e-2b4c-4477-ae63-c0ef5fa37651,2021,AcademicArticle,"Penny Chong,Ngai-Man Cheung,Yuval Elovici,Alexander Binder"
Limited Data,Foundation Model,-,-,y,Y,Low-Rank Adaptations for increased Generalization in Foundation Model features,https://github.com/dsb-ifi/DoRA-for-FM-robustness,https://api.nva.unit.no/publication/019cae325763-82d7e1f5-66ab-4af7-8a08-33db7d118425,2025,AcademicArticle,"Vilde Schulerud Bøe,Andreas Kleppe,Sebastian Foersch,Daniel-Christoph Wagner,Lill-Tove Rasmussen Busund,Adín Ramírez Rivera"
Other fundamental research,Inf Theory,-,-,y,Y,The Conditional Cauchy-Schwarz Divergence With Applications to Time-Series Data and Sequential Decision Making,https://github.com/SJYuCNEL/conditional_CS_divergence,https://api.nva.unit.no/publication/0198cc572195-bb3e6eee-f355-4439-b866-865970b014d9,2025-3-18,AcademicArticle,"Shujian Yu,Hongming Li,Sigurd Eivindson Løkse,Robert Jenssen,Jose C. Principe"
Context and Dependencies,Semantically-Aware Segmentation,-,-,y,Y,A Spitting Image: Modular Superpixel Tokenization in Vision Transformers,https://github.com/dsb-ifi/SPiT,https://api.nva.unit.no/publication/0198cc41e300-dfda720e-10c3-4e55-8ae1-a45e2d2fc7b6,2025,AcademicArticle,"Marius Aasan,Odd Kolbjørnsen,Anne H Schistad Solberg,Adín Ramírez Rivera"
XAI,Concept & Prototypes,-,-,y,y,From Colors to Classes: Emergence of Concepts in Vision Transformers,https://github.com/teresa-sc/concepts_in_ViTs,https://api.nva.unit.no/publication/0199ecc025ea-de1c790c-76c6-4485-85d4-8d0cd165ed55,2025-10-12,AcademicArticle,"Teresa Dorszewski,Lenka Tětková,Robert Jenssen,Lars Kai Hansen,Kristoffer Knutsen Wickstrøm"
XAI,General XAI methods,-,-,y,Y,From Flexibility to Manipulation: The Slippery Slope of XAI Evaluation | SpringerLink,https://github.com/Wickstrom/quantitative-xai-manipulation,https://api.nva.unit.no/publication/019929465c53-60c38555-2538-4434-9900-29e3ffd7bd3f,2025,AcademicArticle,"Kristoffer Wickstrøm,Hedström, Anna,Marina Marie-Claire Höhne"
Other fundamental research,Inf Theory,-,-,y,Y,Discriminative multimodal learning via conditional priors in generative models,https://github.com/rogelioamancisidor/cmmd,https://api.nva.unit.no/publication/0198cc8fc670-cc9c9de9-c01a-4d17-a57f-8b40dfccdcfa,2023,AcademicArticle,"Rogelio Andrade Mancisidor,Michael Christian Kampffmeyer,Kjersti Aas,Robert Jenssen"
XAI,General XAI methods,-,-,y,y,FLEXtime: Filterbank Learning to Explain Time Series,https://github.com/theabrusch/FLEXtime,https://api.nva.unit.no/publication/0199ecc3c346-63431fd3-80d9-47b8-844c-e7cb71a91018,2025-10-14,AcademicArticle,"Thea Brüsch,Kristoffer Wickstrøm,Mikkel N. Schmidt,Robert Jenssen,Tommy Sonne Alstrøm"
XAI,Concept & Prototypes,-,-,y,Y,Visual Data Diagnosis and Debiasing with Concept Graphs, https://github.com/rwchakra/conbias,https://api.nva.unit.no/publication/0198cc7e46b6-2c759df0-ed8f-42df-b8cb-2c9e5eb76a60,2024,AcademicArticle,"Rwiddhi Chakraborty,Yinong (Oliver) Wang,Gao Jialu,Runkai Zheng,Cheng Zhang,Fernando De La Torre"
Context & Dependencies ,Semantically-Aware Segmentation,-,-,y,y,Differentiable Hierarchical Visual Tokenization,https://github.com/dsb-ifi/dHT,https://api.nva.unit.no/publication/019a4fe4f0f6-ca0424f7-5ee6-4981-bb64-ed6576cb8a8e,2025-10-29,AcademicArticle,"Marius Aasan,Martine Hjelkrem Tan,Nico Catalano,Changkyu Choi,Adín Ramírez Rivera"
XAI,Concept & Prototypes,-,-,y,y,This looks more like that: Enhancing Self-Explaining Models by Prototypical Relevance Propagation,https://github.com/SrishtiGautam/PRP,https://api.nva.unit.no/publication/0198cc93fc08-26838d18-a7fe-4402-a15a-0221290c355f,2022,AcademicArticle,"Srishti Gautam,Marina Marie-Claire Hohne,Stine Hansen,Robert Jenssen,Michael Kampffmeyer"
Other fundamental research,,-,-,y,y,Selective Imputation for Multivariate Time Series Datasets with Missing Values,https://github.com/ablazquezg,https://api.nva.unit.no/publication/0198cc81f67f-f7f6042c-fc80-4e67-835a-9f676342e514,2023,AcademicArticle,"Ane Blazquez-Garcia,Kristoffer Knutsen Wickstrøm,Shujian Yu,Karl Øyvind Mikalsen,Ahcene Boubekki,Angel Conde,Usue Mori,Robert Jenssen,Jose A. Lozano"
Limited Labels,Clustering,-,-,y,y,MAP IT to Visualize Representations,https://github.com/SFI-Visual-Intelligence/MAP-IT-to-Visualize-Representations,https://api.nva.unit.no/publication/0198cc77e5cc-60311538-7588-4572-88d3-842c163b3ad9,2024,AcademicArticle,Robert Jenssen
Context and Dependencies,Multi-task Learning,-,-,y,y,Leveraging tensor kernels to reduce objective function mismatch in deep clustering,https://github.com/danieltrosten/tk-uco,https://api.nva.unit.no/publication/0198cc69bb7c-9f9f187a-6a98-4e85-bd7f-30fb19be7739,2024,AcademicArticle,"Daniel Johansen Trosten,Sigurd Eivindson Løkse,Robert Jenssen,Michael Christian Kampffmeyer"
